Response_ID,Area,Nivel_educ_en_3,Q2,Q3,Q4,Q5,Q6,Q6_O,Q10,Q12,Q13,Q14,Q15,Q17,Q18,Q18_O,Q19R1,Q19R2,Q19R3,Q20,Q20_O,Q21,Q22,Q23,Q23D,Q24,Q24_O,Q25,Q26,Q27,Q27_O,Q28,Q29,Q30,Q31R1,Q31R2,Q31R3,Q31R4,Q31R5,Q31R6,Q31R7,Q32,Q33,Q34,Q35,Q36,Q37,Q38R1,Q38R2,Q38R3,Q38R4,Q39R1,Q39R2,Q39R3,Q39R4,Q41R1,Q41R2,Q41R3,Q41R4,Q41R5,Q41R6,Q41R7,Q42,Q42_O,Q43,Q44R1,Q44R2,Q44R3,Q45,Q46,Q47,Q48,Q48_O,Q49,Q49_O,Q50,Q51,Q52,Q54,Q55,Q56A1,Q56A2,Q56A3,Q56A4,Q56A5,Q56_O,Q57,Q58,Q59,Q61,Q62,Q63,Q64,Q65,Q65_O,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q76,Q77R1,Q77R2,Q77R3,Q78R1,Q78R2,Q78R3,Q78R4,Q80
148237689,1,2,54,3,1,10,-1,-1,5,1,-1,1,2,1,2,-1,1,1,1,3,-1,PORQUE LE CORRESPONDIA POR LA LEY PRIMA POR EDAD. TUVO QUE REALIZAR UNA DECLARACION JURADA Y SI O SI TENIA QUE IR PRESENCIALMENTE A REALIZAR EL TRAMITE.,1,1,-1,3,-1,1,1,2,-1,1,1,1,1,2,2,1,2,2,2,1,1,1,3,2,-1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,4,2,2,-1,-1,-1,-1,-1,-1,-1,2,3,3,2,-1,-1,-1,-1,-1,-1,4,2,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,1
147621836,1,2,24,2,1,3,3,-1,5,1,-1,1,2,1,4,-1,1,2,2,3,-1,"PORQUE FUE CITACIÓN POR PARTE DEL ORGANISMO PUBLICO, Y NO LO SUPO HACER (EL INSPECTOR LE COBRÓ 1 UR POR HACÉRSELO, CUANDO EL TRÁMITE SE HACIA ONLINE)",4,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,2,2,1,2,1,-1,1,4,1,5,2,2,2,2,-1,-1,-1,-1,2,2,2,2,2,2,2,-1,-1,2,2,2,2,1,2,3,-1,-1,-1,-1,-1,-1,3,1,1,-1,1,-1,-1,-1,-1,1,3,2,1,2,2,-1,-1,-1,-1,-1,5,1,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,1
148241650,1,2,56,3,1,3,3,-1,6,1,-1,1,1,1,2,-1,1,1,1,3,-1,Porque era urgente cédula de identidad,1,1,-1,2,-1,1,1,1,-1,1,1,3,1,1,1,1,1,1,2,1,2,1,1,2,-1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,-1,-1,1,2,2,2,1,1,2,1,-1,-1,-1,2,3,3,1,1,1,1,-1,-1,-1,-1,1,4,3,1,1,2,-1,-1,-1,-1,-1,2,1,3,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1
148229996,3,1,35,2,1,2,2,Aceguá,2,1,-1,1,2,1,2,-1,1,1,1,3,-1,Porque en el lugar donde vive es complicado por falta de fibra óptica.,1,2,-1,2,-1,1,1,2,-1,1,2,-1,2,2,2,2,2,2,2,2,-1,2,-1,2,-1,1,3,2,2,2,2,2,2,3,1,2,1,1,1,1,-1,-1,2,2,3,1,2,1,3,-1,-1,-1,-1,-1,-1,4,2,2,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,-1,-1,-1,-1,-1,-1,4,2,1,1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,1
147914168,1,2,13,1,1,10,-1,-1,6,1,-1,1,1,1,2,-1,1,1,1,3,-1,porque el trámite no lo podía resolver por internet la consulta ameritaba que fuera presencial,4,3,-1,2,-1,1,1,1,-1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,4,2,2,1,2,-1,-1,-1,-1,2,2,2,2,2,2,2,-1,-1,2,1,2,2,1,1,3,2,-1,2,-1,1,4,3,1,1,1,1,-1,-1,-1,-1,3,4,4,1,2,2,-1,-1,-1,-1,-1,2,1,2,1,-1,2,1,1,2,2,-1,-1,-1,-1,1
147737709,3,2,51,3,1,9,2,Punta del este,4,1,-1,1,1,1,4,-1,1,1,2,3,-1,"PORQUE EL SERVICIO QUE TIENE LA INTENDENCIA , EL MINISTERIO ES MUY DEFICIENTE.",2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,2,1,2,1,2,-1,1,2,1,1,2,2,2,2,-1,-1,-1,-1,2,2,2,2,2,2,2,-1,-1,1,2,1,1,1,2,1,1,-1,-1,-1,2,5,3,1,1,1,1,-1,-1,-1,-1,2,3,2,2,2,-1,-1,-1,-1,-1,-1,2,2,1,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,1
148234428,3,1,41,2,2,16,2,-1,2,1,-1,1,2,1,2,-1,1,1,1,3,-1,"PORQUE COMO LO PODIA REALIZAR EN EL PUEBLO DONDE VIVE, LE QUEDABA MAS CERCA Y COMODO HACERLO PRESENCIAL.",1,4,-1,1,-1,1,1,2,-1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,1,4,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,-1,-1,1,2,2,1,1,2,2,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,3,3,2,1,-1,-1,-1,-1,-1,-1,2,1,2,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1
148073468,3,3,16,2,1,13,2,CAMPAÑA,8,1,-1,1,1,1,2,-1,1,1,2,3,-1,POR QUE TENIA QUE HACERLO PRESENCIALMENTE,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,3,1,-1,2,-1,3,-1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,1,-1,-1,1,2,2,2,2,1,3,2,-1,2,-1,1,3,3,1,1,1,1,-1,-1,-1,-1,4,3,3,1,1,3,-1,-1,-1,-1,-1,2,1,1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1
148576849,1,1,35,2,1,10,-1,-1,2,1,-1,1,2,1,2,-1,1,1,1,3,-1,POR QUE NO REALIZABAN EL TRAMITE POR INTERNET NI TELEFONICAMENTE,2,3,-1,2,-1,2,1,2,-1,2,1,1,2,1,2,1,2,2,1,2,-1,1,3,1,3,2,2,2,2,-1,-1,-1,-1,2,2,2,2,2,2,2,-1,-1,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,3,3,1,2,2,-1,-1,-1,-1,-1,2,1,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,1
148101795,1,2,60,3,2,10,-1,-1,5,2,1,1,2,1,1,-1,1,2,2,3,-1,por que no lo sabe hacer,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,2,2,1,1,-1,2,-1,2,-1,2,2,2,2,-1,-1,-1,-1,2,2,2,2,2,2,2,-1,-1,2,3,3,1,2,2,3,-1,-1,-1,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,1,3,1,-1,1,1,2,1,1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1
